TenantId,OrgName,CountryCode,TotalUsers,EXOEnabledUsers,SPOEnabledUsers,CloudEnabledUsers,CloudActiveUsers,WXPCloudUsers,WXPCloudCollaborators,WXPCloudContributors,WXPCloudCoauthors,TotalMailUsers,TotalAttachments,UsersSentAttachment,OWAMailUsers,TotalOWAMails,TotalGoogleLinks,UsersSentGoogleLink,TotalSPOLinks,UsersSentSPOLink,GoogleAddinDevices,GoogleAddinUsers,Xcoord1,Ycoord1,Xcoord,Ycoord,Legend,CoauthorRatio2,CoauthorRatio
d80d1b57-a9af-40a9-a35b-060795e6ce43,AFNI INC.,US,4959,1332,4931,4959,3914,229,119,62,47,480,315669,452,127,690,0,0,47,14,0,0,0.967478698,0.302352357,0.625443938,0.216482714,Others,0.009477717,0.947771728
b9b4c0b7-07d6-4da6-9a8d-c5e4874339b2,STOWE AUSTRALIA PTY LIMITED,AU,740,740,513,740,45,10,0,0,0,69,506439,69,2,3,0,0,0,0,1,1,0.903838461,0.302345663,0.584302566,0.216477922,Have Google Addin,0,0
0f9e35db-544f-4f60-bdcc-5ea416e6dc70,UNITED NATIONS,ES,3845,410,144,3845,9,19,14,8,6,202,671045,190,54,619,28,5,4,4,0,0,1.019907759,0.302329997,0.659337644,0.216466705,Sent Google links,0.001560468,0.156046814
d0c6a608-dd72-4e33-87fb-665dcf06175d,UNIVERSAL GROUP  INC.,PR,1226,310,245,1226,35,24,11,5,2,87,384591,85,3,11,0,0,0,0,1,1,0.923549529,0.302238389,0.59704514,0.216401114,Have Google Addin,0.001631321,0.163132137
2e24d8dd-8722-40b8-a616-9df9a1ddfe55,MEWBOURNE OIL,US,385,382,2,385,0,0,0,0,0,102,31345,95,10,35,0,0,0,0,0,0,0.624728319,0.302174175,0.403866815,0.216355137,Others,0,0
c5810aa3-c0f3-411f-91ba-42b21f148ef8,ESVAGT A/S,DK,1158,228,140,1158,21,8,0,0,0,126,911582,117,4,6,0,0,0,0,0,0,0.907292856,0.302121978,0.586535722,0.216317764,Others,0,0
dfc4e9a2-90a7-4640-a5f9-fdc1b1aef365,BEER SHEVA MUNICIPALITY,IL,1509,1508,1508,1509,48,16,0,0,0,198,440224,180,17,131,0,0,1,1,0,0,0.846968671,0.302108584,0.547538072,0.216308175,Others,0,0
2e7838a1-780a-42d1-8b9b-55f42f30b172,JNシステムパートナーズ株式会社,JP,5992,5948,291,5992,8,4,0,0,0,912,338817,841,457,2774,0,0,0,0,0,0,0.962990886,0.302086743,0.622542711,0.216292536,Others,0,0
decc3c2f-4f40-401b-addf-3672d5f49028,RHOMBERG BAU | RSRG,AT,311,104,289,311,84,62,39,28,26,59,281957,58,5,12,0,0,0,0,0,0,0.633735185,0.302057752,0.409689464,0.216271779,Others,0.083601286,8.360128617
bfe3d031-e907-4735-99e9-59a498eeff97,"OSPEDALE GENERALE REGIONALE ""F. MIULLI""",IT,1239,1239,0,1239,0,0,0,0,0,310,39903,284,41,255,0,0,0,0,0,0,0.723025335,0.301801026,0.467412682,0.216087965,Others,0,0
f24185ae-9b1c-4daa-8e32-3bc7ba68b0c3,TVI INC.,US,1590,1342,1380,1590,744,408,81,45,29,137,377392,132,46,1807,1,1,44,9,0,0,0.907444863,0.301710977,0.586633989,0.21602349,Sent Google links,0.018238994,1.823899371
2462be19-2b4a-4555-a671-0a9b7d1b9af7,PHC,JP,2817,2815,2780,2817,303,179,108,54,39,613,90695,567,372,2524,0,0,12,7,0,0,0.839086501,0.301596938,0.542442502,0.215941839,Others,0.013844515,1.384451544
e33193ad-3df2-4c63-b785-e92ffc828504,株式会社テイクアンドギヴ・ニーズ,JP,1796,1747,1470,1796,28,4,0,0,0,186,281841,176,104,3892,4,1,0,0,0,0,0.901765551,0.301529213,0.582962497,0.215893348,Sent Google links,0,0
3023f771-b704-44f4-b2bc-6490ec9473ac,TRIDENT SEAFOODS CORPORATION,US,1563,978,99,1563,36,21,13,7,4,126,659799,122,1,1,0,0,0,0,0,0,0.951631081,0.301514222,0.615198962,0.215882614,Others,0.002559181,0.255918106
1a721771-b78a-4079-9ec5-38695d718adb,出光興産株式会社,JP,10389,10175,10175,10389,1943,1360,428,90,72,364,1259771,351,7,24,0,0,1,1,0,0,1.111606214,0.301411775,0.718617752,0.215809262,Others,0.006930407,0.693040716
f7f2b5e3-a06e-4028-9554-61c2d34d8524,COUNSEL ON CALL,US,949,932,576,949,27,14,4,3,2,177,101734,159,61,502,0,0,0,0,0,0,0.72769142,0.301330921,0.470429156,0.215751371,Others,0.002107482,0.210748156
f33cd7c9-99d6-4d11-82a6-15aa45b93e2f,GRAPHIC PACKAGING INTERNATIONAL  INC,US,1446,1351,1392,1446,58,27,3,2,0,200,307821,185,26,132,0,0,0,0,0,0,0.839110083,0.301299277,0.542457747,0.215728715,Others,0,0
9134ca48-663d-4a05-968a-31a42f0aed3e,THE UNITED KINGDOM HYDROGRAPHIC OFFICE,GB,994,977,977,997,129,53,12,4,2,69,566518,69,2,3,0,0,0,0,0,0,0.932505411,0.30123585,0.60283483,0.215683301,Others,0.002006018,0.200601805
f0fd7909-cd13-4779-b0f9-5ced6b7a2c68,SMART MODULAR TECHNOLOGIES,US,1127,948,200,1127,49,6,6,3,0,172,147652,158,42,215,0,0,0,0,0,0,0.79056975,0.301033756,0.511077979,0.215538603,Others,0,0
d65a1c89-c5c0-48ff-a49e-495755687d56,SCHUFF INTERNATIONAL,US,611,611,602,611,11,2,0,0,0,88,343891,83,9,24,0,0,0,0,0,0,0.819550895,0.300759173,0.529813359,0.215342003,Others,0,0
ea830b40-d32b-4bea-b6b1-064b38936224,PREMIUM TRANSMISSION,IN,553,549,49,553,1,1,0,0,0,118,81035,108,10,40,0,0,0,0,0,0,0.697301918,0.300672105,0.450783318,0.215279663,Others,0,0
5b30a0d1-4025-4880-afb4-9eb616687604,SOREGAM SA - MAGOTTEAUX,BE,1479,1463,1463,1479,280,238,154,61,46,189,345900,174,25,133,0,0,8,1,0,0,0.813757524,0.300646396,0.52606813,0.215261256,Others,0.031102096,3.110209601
3c267477-5c54-412a-bf7a-6999e9872af7,株式会社ゼンショーホールディングス,JP,5563,5510,19,5563,0,0,0,0,0,443,847098,424,36,308,0,0,0,0,1,1,1.032592005,0.300355771,0.667537602,0.215053169,Have Google Addin,0,0
9325eb20-5843-411b-8210-052468ca8b56,DRB-HICOM BERHAD,MY,527,527,527,527,42,30,22,15,13,98,63675,91,26,182,0,0,0,0,0,0,0.670244187,0.30023145,0.433291363,0.214964156,Others,0.024667932,2.466793169
d9fdbcc8-1986-438c-a79e-de0ab2dc66b2,AKASTOR,NO,4943,4909,3800,4943,3291,177,33,14,4,379,725514,358,38,99,0,0,6,4,0,0,1.007746871,0.2999862,0.651476019,0.214788558,Others,0.000809225,0.080922517
c99c6006-7f50-40c7-80fa-3acaff2965e0,CITY OF ALBANY,US,342,341,60,342,4,1,0,0,0,72,69645,67,14,107,0,0,0,0,0,0,0.666111159,0.299877307,0.430619493,0.214710592,Others,0,0
5b14434c-3718-4958-b5ad-bca721df9bed,RENFRO CORPORATION,US,904,887,9,904,1,1,0,0,0,108,264362,102,10,53,0,0,0,0,0,0,0.847570561,0.299615449,0.547927174,0.214523103,Others,0,0
497baa1e-e084-453a-9080-02e65e56602e,BRIDGESTONE AMERICAS  INC.,US,3419,2110,2185,3419,122,79,45,31,21,289,311787,272,25,97,0,0,0,0,0,0,0.959925535,0.299161896,0.62056106,0.214198361,Others,0.006142147,0.614214683
4cef5c93-f877-4a8d-9bb9-f02c18536c88,DAR AL-HANDASAH,EG,2037,1849,1853,2037,64,8,0,0,0,108,479186,108,2,6,0,0,0,0,0,0,0.979431159,0.29909317,0.63317082,0.214149154,Others,0,0
8a1d2255-4972-4e1e-86ce-0efc9bb27531,BEMIS COMPANY,US,5737,5676,36,5737,6,4,3,3,3,1487,141516,1334,142,704,0,0,0,0,0,0,0.874653526,0.299055025,0.565435442,0.214121842,Others,0.000522921,0.052292139
3ffdda30-f16b-4f39-af0f-55f84f92d79b,SCHÜßLER-PLAN GMBH,DE,1183,1180,14,1183,6,4,4,2,0,256,72012,229,63,315,0,0,0,0,0,0,0.720444724,0.298803794,0.465744399,0.213941962,Others,0,0
3cdbf7ca-e58e-4714-92a9-2793c8d140bd,ST. ANTHONY'S MEDICAL CENTER,US,3364,3298,3296,3364,90,52,13,9,7,172,566910,166,24,194,0,0,3,1,0,0,1.008747667,0.298544145,0.652123002,0.213756055,Others,0.002080856,0.208085612
2199bfba-a409-4f13-b0c4-18b45933d88d,STATE OF INDIANA,US,33104,12889,1979,33104,1142,902,583,355,276,1017,2383240,991,70,348,0,0,5,3,0,0,1.212885415,0.29844289,0.784091507,0.213683557,Others,0.008337361,0.833736104
0f289d43-bbef-4446-9cec-57d0419a15c2,VIRGIN AUSTRALIA AIRLINES PTY LTD,AU,7473,7307,7360,7473,530,324,211,102,72,158,1168922,152,41,456,0,0,16,7,0,0,1.121459606,0.298311912,0.724987655,0.213589777,Others,0.009634685,0.963468487
268ef8ab-648a-4d19-890a-fb7be9cdff7b,TECHPACK S.A.,CL,921,870,521,921,28,11,0,0,0,213,77844,182,13,42,0,0,0,0,0,0,0.662986199,0.298295623,0.428599306,0.213578114,Others,0,0
cfd94e65-c6bc-4fa7-bbd0-c0f9ffcda1b4,SPECSAVERS,GB,8305,8129,8129,8306,605,407,197,116,90,1016,425674,947,448,3213,163,52,18,11,28,25,1.010933641,0.298210147,0.653536164,0.213516914,Sent Google links,0.010835541,1.083554057
60f1e0e5-943e-4df0-bbf0-03293ed4786b,REAL MADRID C.F.,ES,280,113,259,282,66,23,6,4,0,60,59958,56,23,1276,0,0,1,1,0,0,0.610638199,0.297990196,0.394758004,0.21335943,Others,0,0
